id;district_id;place_name;street_address;address_locality;created_at;updated_at;deleted_at
496;150103;Club Internacional Santa Clara;km12 Carretera central, ref paradero pista nueva;km12 Carretera central, ref paradero pista nueva - ATE - LIMA;24/06/2024 10:15;24/06/2024 10:15;NULL
497;150137;CENTRO SOCIAL COCHAS;Av. NICOLAS AYLLON N° 3232;Av. NICOLAS AYLLON N° 3232 - SANTA ANITA - LIMA;25/06/2024 10:57;25/06/2024 10:57;NULL
498;200101;Colegio Salesiano Don Bosco;Parque San Juan Bosco;Parque San Juan Bosco - PIURA;26/06/2024 07:47;26/06/2024 07:47;NULL
499;150112;AV TUPAC AMARU ALAMAEDA CONTINSUYO SKATE PARK;INDEPENDENCIA;INDEPENDENCIA - INDEPENDENCIA - LIMA;27/06/2024 07:37;27/06/2024 07:37;NULL
500;210101;Club Aroma Discoteca;Juliaca;Juliaca - PUNO;27/06/2024 11:46;27/06/2024 11:46;NULL
501;120301;Estadio Pescheira;La Merced Chanchamayo;La Merced Chanchamayo - CHANCHAMAYO - JUNÍN;28/06/2024 07:08;28/06/2024 07:08;NULL
502;211101;Club Roma Discoteca;NULL;JULIACA - PUNO;29/06/2024 04:29;29/06/2024 04:29;NULL
503;150101;Pulso Club;Av. Petit Thouars 212;Av. Petit Thouars 212 - LIMA;1/07/2024 08:01;1/07/2024 08:01;NULL
504;100101;Local Recreo de Chacra;NULL;HUANUCO - HUÁNUCO;3/07/2024 05:11;3/07/2024 05:11;NULL
505;200706;Club Deportivo El Diez;NULL;MANCORA - PIURA;3/07/2024 06:06;3/07/2024 06:06;NULL
506;240101;Sea Land Lounge Bar;Panamericana Norte MZ A - LT19;Panamericana Norte MZ A - LT19 - TUMBES;4/07/2024 12:40;4/07/2024 12:40;NULL
507;60101;Coliseo de la Universidad Nacional de Cajamarca;NULL;CAJAMARCA;6/07/2024 08:36;6/07/2024 08:36;NULL
508;50101;Milwa Country Club;Av. Javier Heraud 560;Av. Javier Heraud 560 - AYACUCHO;8/07/2024 05:06;8/07/2024 05:06;NULL
509;150133;Bla Restaurante Turístico - Salón de baile;Av. las Vegas 809;Av. las Vegas 809 - SAN JUAN DE MIRAFLORES - LIMA;8/07/2024 06:27;8/07/2024 06:27;NULL
510;211101;El Padrino Eventos;Costado de Club Roma;Costado de Club Roma - JULIACA - PUNO;8/07/2024 07:21;8/07/2024 07:21;NULL
511;150143;Yawar Plaza;NULL;VILLA MARÍA DEL TRIUNFO - LIMA;8/07/2024 10:09;8/07/2024 10:09;NULL
512;220401;Estadio Municipal;NULL;SAPOSOA - SAN MARTÍN;9/07/2024 04:36;9/07/2024 04:36;NULL
513;220101;Campo Ferial Ayaymama;NULL;MOYOBAMBA - SAN MARTÍN;9/07/2024 04:42;9/07/2024 04:42;NULL
514;150122;Mercado San Ramón;CALLE SAN RAMON N° 290;CALLE SAN RAMON N° 290 - MIRAFLORES - LIMA;9/07/2024 06:13;9/07/2024 06:13;NULL
515;150122;Teatro Juana Alarco de Dammert;AV. ALFREDO BENAVIDES 2315;AV. ALFREDO BENAVIDES 2315 - MIRAFLORES - LIMA;9/07/2024 10:44;9/07/2024 10:44;NULL
516;150122;El Miraflorino;Espacio San Ramón, Calle San Ramón 290 (2do Nivel);Espacio San Ramón, Calle San Ramón 290 (2do Nivel) - MIRAFLORES - LIMA;9/07/2024 12:30;9/07/2024 12:30;NULL
517;150143;Yawar Plaza Mamara - San Gabriel;NULL;VILLA MARÍA DEL TRIUNFO - LIMA;10/07/2024 04:04;10/07/2024 04:04;NULL
518;140108;Estadio Municipal de Monsefú;NULL;MONSEFU - LAMBAYEQUE;10/07/2024 11:13;10/07/2024 11:13;NULL
519;210101;Pérgola Jardín;NULL;PUNO;11/07/2024 10:20;11/07/2024 10:20;NULL
520;230101;Bacana;Calle General Suarez S/N;Calle General Suarez S/N - TACNA;11/07/2024 12:23;11/07/2024 12:23;NULL
521;250105;Bellaqueo Club;NULL;YARINACOCHA - UCAYALI;12/07/2024 06:10;12/07/2024 06:10;NULL
522;250105;Bellaqueo Club - Pucallpa;NULL;YARINACOCHA - UCAYALI;13/07/2024 07:08;13/07/2024 07:08;NULL
523;210101;Cuper Palace;NULL;PUNO;15/07/2024 04:48;15/07/2024 04:48;NULL
524;180101;Fundo El Platanal;NULL;MOQUEGUA;15/07/2024 05:42;15/07/2024 05:42;NULL
525;21001;Colegio Manuel Gonzales Prada;NULL;HUARI - ÁNCASH;15/07/2024 06:56;15/07/2024 06:56;NULL
526;150119;Explanada Super Leo;NULL;LURIN - LIMA;15/07/2024 07:11;15/07/2024 07:11;NULL
527;150125;El Oasis;Paradero Norteño;Paradero Norteño - PUENTE PIEDRA - LIMA;15/07/2024 11:13;15/07/2024 11:13;NULL
528;60101;Feria Fongal;NULL;CAJAMARCA;15/07/2024 11:15;15/07/2024 11:15;NULL
529;40101;Complejo Magnopata;NULL;AREQUIPA;15/07/2024 12:07;15/07/2024 12:07;NULL
530;150110;Parque Zonal Sinchi Roca;Av Universitaria con Av Los Incas puerta 5;Av Universitaria con Av Los Incas puerta 5 - COMAS - LIMA;18/07/2024 04:11;18/07/2024 04:11;NULL
531;150133;Local Perú Fest;Al costado del parque Huayna Capac;Al costado del parque Huayna Capac - SAN JUAN DE MIRAFLORES - LIMA;19/07/2024 04:12;19/07/2024 04:12;NULL
532;150133;Mercado Familias Unidas;NULL;SAN JUAN DE MIRAFLORES - LIMA;19/07/2024 12:29;19/07/2024 12:29;NULL
533;150108;Explanada Agua Dulce;NULL;CHORRILLOS - LIMA;22/07/2024 12:01;22/07/2024 12:01;NULL
534;220901;Explanada del Hipermercado Santa Anita;NULL;TARAPOTO - SAN MARTÍN;24/07/2024 04:56;24/07/2024 04:56;NULL
535;80901;Feria Sambaray;NULL;SANTA ANA - CUSCO;25/07/2024 10:29;25/07/2024 10:29;NULL
536;80101;Feria Sambaray Quillabamba;NULL;CUSCO;25/07/2024 10:43;25/07/2024 10:43;NULL
537;70101;Plaza Independencia (Inicio de la Av. Sáenz Peña);NULL;CALLAO;25/07/2024 11:57;25/07/2024 11:57;NULL
538;150131;Teatro Auditorio Colegio Alfonso Ugarte;Av.Paseo de la Republica cdra.35;Av.Paseo de la Republica cdra.35 - SAN ISIDRO - LIMA;26/07/2024 05:02;26/07/2024 05:02;NULL
539;110101;Boulevard Club;NULL;ICA;26/07/2024 06:55;26/07/2024 06:55;NULL
540;110301;Balneario de Paracas;NULL;NASCA - ICA;26/07/2024 09:57;26/07/2024 09:57;NULL
541;150102;Plaza de Armas Los Rosales;Km 39 Panamericana Norte;Km 39 Panamericana Norte - ANCÓN - LIMA;27/07/2024 05:38;27/07/2024 05:38;NULL
